City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Ngunguru,NZ,2021-04-25 23:47:16,-35.6167,174.5,66.99,69,41,5.99
97,Lianyuan,CN,2021-04-25 23:47:16,27.6883,111.6642,58.96,94,100,1.63
98,Manaus,BR,2021-04-25 23:44:29,-3.1019,-60.025,80.6,83,20,2.3
99,Andenes,NO,2021-04-25 23:47:17,69.3143,16.1194,35.6,75,90,5.75
100,Wattegama,LK,2021-04-25 23:47:17,6.7989,81.4808,73.51,93,68,1.92
101,Hilo,US,2021-04-25 23:46:39,19.7297,-155.09,78.8,69,90,8.05
102,Esna,EG,2021-04-25 23:47:18,25.2934,32.554,84.2,20,0,3.44
103,Coquimbo,CL,2021-04-25 23:43:16,-29.9533,-71.3436,57.2,82,0,8.05
104,Ternate,ID,2021-04-25 23:47:18,0.8,127.4,83.32,72,52,4.7
105,Krasnoarmeysk,RU,2021-04-25 23:47:19,51.0239,45.6969,44.01,42,65,1.99
106,Sars,RU,2021-04-25 23:47:19,56.5502,57.1366,34.79,81,89,12.8
107,Kapaa,US,2021-04-25 23:42:32,22.0752,-159.319,80.6,65,40,12.66
108,Esperance,AU,2021-04-25 23:42:33,-33.8667,121.9,59.0,55,0,16.11
109,Hulan Ergi,CN,2021-04-25 23:47:20,47.2042,123.6333,56.48,24,100,16.37
110,Taltal,CL,2021-04-25 23:47:20,-25.4,-70.4833,62.89,81,36,3.71
111,Axim,GH,2021-04-25 23:39:15,4.8699,-2.2405,80.15,83,97,5.46
112,Muroto,JP,2021-04-25 23:47:21,33.2833,134.15,57.2,28,0,5.75
113,Touros,BR,2021-04-25 23:37:32,-5.1989,-35.4608,78.8,83,20,6.91
114,Shubarshi,KZ,2021-04-25 23:39:35,48.5872,57.1869,50.09,85,99,9.8
115,The Valley,AI,2021-04-25 23:47:21,18.217,-63.0578,79.0,78,20,13.8
116,Sonoita,MX,2021-04-25 23:47:21,31.85,-112.8333,84.99,14,69,5.99
117,Keelung,TW,2021-04-25 23:47:22,25.1283,121.7419,75.2,73,75,12.66
118,Matagami,CA,2021-04-25 23:47:22,49.7502,-77.6328,21.2,86,90,20.71
119,Qurayyat,SA,2021-04-25 23:47:23,31.3318,37.3428,69.8,26,0,9.22
120,Roald,NO,2021-04-25 23:47:23,62.5833,6.1333,37.4,75,90,10.36
121,Doka,SD,2021-04-25 23:47:23,13.5167,35.7667,86.63,41,99,14.94
122,Sangmelima,CM,2021-04-25 23:47:24,2.9333,11.9833,68.72,92,60,0.81
123,Rawson,AR,2021-04-25 23:38:25,-43.3002,-65.1023,61.79,54,80,21.83
124,Riyadh,SA,2021-04-25 23:40:02,24.6877,46.7219,78.8,24,0,4.23
125,Banjar,ID,2021-04-25 23:47:25,-8.19,114.9675,78.8,83,20,2.3
126,Cockburn Town,TC,2021-04-25 23:45:11,21.4612,-71.1419,78.8,73,40,11.5
127,Chkalovsk,RU,2021-04-25 23:47:26,56.7647,43.2433,37.4,60,0,15.66
128,Saint George,US,2021-04-25 23:43:20,37.1041,-113.5841,80.6,11,1,27.63
129,Pimentel,PE,2021-04-25 23:38:06,-6.8367,-79.9342,71.6,64,0,19.57
130,Bethel,US,2021-04-25 23:37:52,41.3712,-73.414,60.8,51,90,5.75
131,Hualmay,PE,2021-04-25 23:37:30,-11.0964,-77.6139,67.26,85,23,7.23
132,Torbay,CA,2021-04-25 23:38:30,47.6666,-52.7314,45.0,57,20,9.22
133,Saskylakh,RU,2021-04-25 23:37:53,71.9167,114.0833,14.99,93,100,23.55
134,Mardin,TR,2021-04-25 23:47:27,37.3131,40.7436,67.6,30,74,10.89
135,Rtishchevo,RU,2021-04-25 23:47:28,52.2604,43.7874,35.49,74,66,9.66
136,Fort Nelson,CA,2021-04-25 23:37:40,58.8053,-122.7002,57.2,14,40,8.05
137,Ponta Do Sol,PT,2021-04-25 23:47:28,32.6667,-17.1,57.99,86,56,5.01
138,Rudarpur,IN,2021-04-25 23:47:28,26.4394,83.6144,76.39,13,33,4.52
139,Bambous Virieux,MU,2021-04-25 23:37:33,-20.3428,57.7575,77.0,88,75,14.97
140,Owerri,NG,2021-04-25 23:47:29,5.4833,7.0304,80.6,83,20,6.91
141,Ban Nahin,LA,2021-04-25 23:47:29,18.2418,104.2122,80.49,76,100,1.68
142,Berlevag,NO,2021-04-25 23:47:29,70.8578,29.0864,29.84,85,71,14.23
143,San Patricio,US,2021-04-25 23:38:08,28.017,-97.5169,79.0,65,40,17.27
144,Dera Ghazi Khan,PK,2021-04-25 23:47:30,30.0561,70.6348,80.6,21,0,6.26
145,Savannah Bight,HN,2021-04-25 23:47:30,16.45,-85.85,86.0,70,20,2.3
146,Tura,IN,2021-04-25 23:39:05,25.5198,90.2201,75.58,30,2,4.14
147,Nome,US,2021-04-25 23:47:31,64.5011,-165.4064,42.01,87,1,6.91
148,Celestun,MX,2021-04-25 23:47:31,20.8667,-90.4,81.25,71,32,12.93
149,Broome,US,2021-04-25 23:38:51,42.2506,-75.833,50.0,66,40,13.8
150,Abbeville,FR,2021-04-25 23:47:32,50.1,1.8333,39.99,82,57,10.49
151,Shenkursk,RU,2021-04-25 23:47:32,62.1091,42.896,39.9,95,100,4.41
152,Upernavik,GL,2021-04-25 23:43:01,72.7868,-56.1549,33.75,76,45,4.94
153,Mpanda,TZ,2021-04-25 23:47:33,-6.3655,31.0409,63.73,97,93,1.45
154,Watrous,CA,2021-04-25 23:47:33,51.6668,-105.4679,50.0,16,100,9.22
155,Laurel,US,2021-04-25 23:47:33,39.0993,-76.8483,63.0,41,1,3.44
156,Tabriz,IR,2021-04-25 23:47:34,38.08,46.2919,59.0,33,0,6.91
157,Khor,RU,2021-04-25 23:47:34,47.8861,134.9464,48.54,24,25,9.73
158,Victoria,HK,2021-04-25 23:47:35,22.2855,114.1577,73.99,81,99,5.01
159,Nalut,LY,2021-04-25 23:39:57,30.3333,10.85,70.11,24,65,17.16
160,Geraldton,AU,2021-04-25 23:47:07,-28.7667,114.6,68.0,42,1,12.66
