City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
215,Nova Olimpia,BR,70.03,-14.7972,-57.2881,Motel glamour
219,Paragominas,BR,73.22,-2.9667,-47.4833,.
229,Campina Verde,BR,71.85,-19.5356,-49.4864,Hotel Lino
233,Bom Jardim,BR,75.2,-7.7958,-35.5872,Pousada do Posto Jose Breno
236,Inongo,CD,71.69,-1.95,18.2667,Hotel Du Lac
238,Batangafo,CF,73.29,7.3008,18.2833,OCHA Office
250,Puerto Leguizamo,CO,74.39,-0.1934,-74.7819,la casona de juancho
252,Vila Do Maio,CV,71.6,15.1333,-23.2167,Hotel Marilu
253,Rantepao,ID,72.32,-2.9701,119.8978,Hotel Luta Resort
261,Souillac,MU,77.0,-20.5167,57.5167,Shanti Maurice Resort & Spa
267,Roebourne,AU,78.84,-20.7833,117.1333,Harding River Caravan Park
276,Batesville,US,71.6,35.7698,-91.641,Holiday Inn Express & Suites Batesville
281,Mindelo,CV,71.6,16.8901,-24.9804,Hotel Gaudi
282,Karratha,AU,78.89,-20.7377,116.8463,ibis Styles Karratha
284,Naze,JP,75.2,28.3667,129.4833,奄美ポートタワーホテル
289,Hoa Binh,VN,77.0,20.8133,105.3383,Hoa Dao Hotel
290,Merauke,ID,79.45,-8.4667,140.3333,
291,Silver City,US,78.8,32.7701,-108.2803,Copper Manor Motel
292,Tadine,NC,75.9,-21.55,167.8833,
293,Lahij,YE,76.51,13.1667,44.5833,
296,Bata,GQ,79.39,1.8639,9.7658,Hotel Elik Melen
301,Lampitak,PH,74.61,6.4322,125.0525,Mt. Mabalo
308,Meulaboh,ID,76.84,4.1363,96.1285,Kost Pria
320,Bathsheba,BB,78.8,13.2167,-59.5167,Atlantis Hotel
332,Madimba,TZ,73.4,-10.4,40.3333,
336,Bubaque,GW,77.97,11.2833,-15.8333,"Casa Dora, Bubaque"
343,Cabedelo,BR,77.0,-6.9811,-34.8339,Hotel Pigalle
347,Kondagaon,IN,74.46,19.6,81.6667,AYAN MOTER
349,Gohpur,IN,74.26,26.8833,93.6333,Murchana Music
360,Urucara,BR,76.32,-2.5364,-57.76,Hotel japa
362,Quatre Cocos,MU,77.0,-20.2078,57.7625,Veranda Palmar Beach Hotel
363,Satipo,PE,73.13,-11.2522,-74.6386,Hotel Mayros
374,Ouegoa,NC,79.29,-20.35,164.4333,
376,Pontianak,ID,77.0,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
378,Maceio,BR,75.2,-9.6658,-35.7353,Poutur Pousada
381,Nova Venecia,BR,72.64,-18.7106,-40.4006,Hotel Ferrari - Rede Ferrari
388,Xapuri,BR,74.28,-10.6517,-68.5044,Pousada dos Chapurys
391,Praya,CV,71.6,14.9215,-23.5087,LT Aparthotel
393,Tabou,CI,77.04,4.423,-7.3528,hotêl doufoulougou
401,Nabire,ID,77.58,-3.3667,135.4833,Hotel Nusantara Nabire
413,Sinnamary,GF,77.77,5.3833,-52.95,ALETHEIA Appartement Sinnamary
420,Gat,IL,73.99,31.61,34.7642,OlusHome
423,Galle,LK,79.43,6.0367,80.217,Amangalla
425,Chake Chake,TZ,77.27,-5.2459,39.7666,Hotel Archipelago
426,Toamasina,MG,72.99,-18.1667,49.3833,Hotel H1
436,Odweyne,SO,71.4,9.4092,45.06399999999999,Eng Hiirey House
439,Cianjur,ID,78.8,-6.8224,107.1393,The Jhon's Cianjur Aquatic Resort
444,Olinda,BR,78.8,-8.0089,-34.8553,Hotel Albergue de Olinda
448,Baracoa,CU,78.03,20.3467,-74.4958,Hostal Rio Miel
451,Yenagoa,NG,77.77,4.9247,6.2642,Aridolf Resort Wellness and Spa
457,Oistins,BB,78.8,13.0667,-59.5333,Butterfly Beach Hotel
461,Monrovia,LR,78.8,6.3005,-10.7969,Sunset Inn
468,Vila Velha,BR,78.8,-20.3297,-40.2925,Quality Suites Vila Velha
470,Gazanjyk,TM,71.74,39.2446,55.5154,Railway motel
471,Hirara,JP,73.4,24.8,125.2833,Hotel Atoll Emerald Miyakojima
472,Batticaloa,LK,77.77,7.7102,81.6924,Grand Star Guest House
474,Ishigaki,JP,73.4,24.3448,124.1572,Hotel Peace Land Ishigakijima
478,Grand Gaube,MU,75.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
